,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
2143,1,1133,0,0,0,0.17,1946,426000,-1
2144,1,1260,246,0,240,0.2,1941,530000,-1
2145,1,1040,1040,300,312,0.18,1966,405000,-1
2146,7,1212,0,0,336,0.23,1975,310000,-1
2147,8,2302,1166,1166,960,0.31,2004,714900,-1
2148,68,896,112,0,336,0.01,1983,253000,2
2149,8,1841,943,0,551,0.19,1994,510000,-1
2150,8,2313,1056,0,506,0.13,2020,523120,-1
2151,8,2132,892,0,528,0.14,2019,475000,-1
2152,8,2593,1069,0,484,0.13,2020,694000,-1
2153,1,1459,1445,0,400,0.12,2008,375000,-1
2154,1,1646,1646,1646,400,0.13,2020,510420,-1
2155,1,1248,1217,916,460,0.13,1994,424500,-1
2156,8,1750,1225,1021,400,0.15,1992,449000,-1
2157,19,893,0,0,0,0.0,1974,229500,-1
2158,7,1630,0,0,730,0.15,1980,435000,-1
2159,1,1390,1390,1310,420,0.07,1999,525000,-1
2160,4,1953,0,0,534,0.28,1976,416500,-1
2161,19,576,0,0,0,0.0,1974,165000,-1
2162,1,693,0,0,231,0.11,1949,342000,-1
2163,68,784,0,0,0,0.02,1974,212000,-1
2164,1,960,696,216,240,0.16,1949,478000,-1
2165,419,1350,0,0,0,0.2,1955,890000,-1
2166,5,1659,120,0,0,0.15,1901,570000,-1
2167,1,1116,816,816,288,0.19,1965,341000,-1
2168,5,2138,676,0,684,0.22,1888,1187500,-1
2169,5,1944,0,0,480,0.16,1983,425000,-1
2170,1,1103,1103,1103,420,0.16,1977,394500,-1
2171,1,1120,658,658,308,0.42,1996,445000,25
2172,7,1344,0,0,288,0.13,1978,280000,-1
2173,8,2050,734,0,400,0.28,1993,416000,-1
2174,8,1164,0,0,400,0.22,1987,370000,-1
2175,61,1200,1188,616,460,0.0,1993,325000,-1
2176,8,2154,956,0,596,0.11,2019,479000,-1
2177,8,1932,976,680,484,0.12,2007,560000,-1
2178,8,2322,1244,1244,609,0.15,2004,530000,42
2179,8,1483,742,0,400,0.09,1994,390000,-1
2180,8,2844,1164,0,620,0.28,1997,607755,-1
2181,61,1369,851,643,418,0.0,1987,432000,-1
2182,1,1207,1164,1084,400,0.24,1995,425000,-1
2183,7,1640,528,528,450,0.18,1976,425000,-1
2184,68,1400,0,0,312,0.0,1973,300000,1
2185,1,1760,870,870,378,0.24,1959,450000,-1
2186,51,1832,0,0,528,0.18,1970,510000,15
2187,1,1478,0,0,540,0.11,1947,535000,-1
2188,1,666,0,0,280,0.11,1905,395000,-1
2189,14,1152,0,0,0,0.0,2008,56750,-1
2190,8,2104,994,0,440,0.11,2008,552000,-1
2191,1,1856,1856,0,440,0.12,2017,518500,-1
2192,1,3060,3060,1965,1160,0.53,2006,1730000,-1
2193,8,2622,1208,0,632,0.12,2020,530000,-1
2194,61,1354,938,938,396,0.05,2014,470000,21
2195,19,1413,0,0,180,0.0,2015,349000,32
2196,19,1601,0,0,480,0.0,2004,360000,11
2197,68,1626,674,674,420,0.0,2006,412500,-1
2198,8,2060,1150,910,576,0.24,1967,620000,-1
2199,7,1622,0,0,288,0.26,1972,424900,-1
2200,1,1344,1170,1090,0,1.25,1972,540000,-1
2201,4,1740,0,0,480,0.17,1981,395000,-1
2202,1,1972,0,0,624,0.12,1981,394400,-1
2203,61,1152,1136,336,440,0.08,1988,325000,-1
2204,8,2356,1492,0,506,0.14,2002,437000,40
2205,61,1436,920,848,400,0.07,1986,365000,-1
2206,19,666,0,0,0,0.0,1974,205000,-1
2207,1,1846,0,0,456,0.26,1960,387000,-1
2208,68,1536,750,750,480,0.09,1979,331000,-1
2209,15,1344,0,0,0,0.0,2016,97300,-1
2210,14,924,0,0,0,0.0,2016,69000,-1
